date,risk_value,daily_variation,trend
2016-04-01,14.05,0.0,No Change
2016-04-02,14.06,0.009999999999999787,Increase
2016-04-03,14.06,0.0,No Change
2016-04-04,14.06,0.0,No Change
2016-04-05,14.1,0.03999999999999915,Increase
2016-04-06,14.11,0.009999999999999787,Increase
2016-04-07,14.12,0.009999999999999787,Increase
2016-04-08,14.14,0.02000000000000135,Increase
2016-04-09,14.15,0.009999999999999787,Increase
2016-04-10,14.15,0.0,No Change
2016-04-11,14.15,0.0,No Change
2016-04-12,14.18,0.02999999999999936,Increase
2016-04-13,14.2,0.019999999999999574,Increase
2016-04-14,14.21,0.010000000000001563,Increase
2016-04-15,14.22,0.009999999999999787,Increase
2016-04-16,14.23,0.009999999999999787,Increase
2016-04-17,14.23,0.0,No Change
2016-04-18,14.23,0.0,No Change
2016-04-19,14.27,0.03999999999999915,Increase
2016-04-20,14.28,0.009999999999999787,Increase
2016-04-21,14.29,0.009999999999999787,Increase
2016-04-22,14.31,0.02000000000000135,Increase
2016-04-23,14.32,0.009999999999999787,Increase
2016-04-24,14.32,0.0,No Change
2016-04-25,14.32,0.0,No Change
2016-04-26,14.36,0.03999999999999915,Increase
2016-04-27,14.37,0.009999999999999787,Increase
2016-04-28,14.38,0.010000000000001563,Increase
2016-04-29,14.4,0.019999999999999574,Increase
2016-04-30,14.41,0.009999999999999787,Increase
2016-05-01,14.41,0.0,No Change
2016-05-02,14.41,0.0,No Change
2016-05-03,14.46,0.05000000000000071,Increase
2016-05-04,14.47,0.009999999999999787,Increase
2016-05-05,14.48,0.009999999999999787,Increase
2016-05-06,14.5,0.019999999999999574,Increase
2016-05-07,14.51,0.009999999999999787,Increase
2016-05-08,14.51,0.0,No Change
2016-05-09,14.51,0.0,No Change
2016-05-10,14.55,0.040000000000000924,Increase
2016-05-11,14.57,0.019999999999999574,Increase
2016-05-12,14.58,0.009999999999999787,Increase
2016-05-13,14.6,0.019999999999999574,Increase
2016-05-14,14.61,0.009999999999999787,Increase
2016-05-15,14.61,0.0,No Change
2016-05-16,14.61,0.0,No Change
2016-05-17,14.65,0.040000000000000924,Increase
2016-05-18,14.67,0.019999999999999574,Increase
2016-05-19,14.68,0.009999999999999787,Increase
2016-05-20,14.7,0.019999999999999574,Increase
2016-05-21,14.71,0.010000000000001563,Increase
2016-05-22,14.71,0.0,No Change
2016-05-23,14.71,0.0,No Change
2016-05-24,14.75,0.03999999999999915,Increase
2016-05-25,14.77,0.019999999999999574,Increase
2016-05-26,14.77,0.0,No Change
2016-05-27,14.8,0.030000000000001137,Increase
2016-05-28,14.82,0.019999999999999574,Increase
2016-05-29,14.82,0.0,No Change
2016-05-30,14.82,0.0,No Change
2016-05-31,14.86,0.03999999999999915,Increase
2016-06-01,14.88,0.02000000000000135,Increase
2016-06-02,14.9,0.019999999999999574,Increase
2016-06-03,14.91,0.009999999999999787,Increase
2016-06-04,14.93,0.019999999999999574,Increase
2016-06-05,14.93,0.0,No Change
2016-06-06,14.93,0.0,No Change
2016-06-07,14.98,0.05000000000000071,Increase
2016-06-08,14.99,0.009999999999999787,Increase
2016-06-09,15.01,0.019999999999999574,Increase
2016-06-10,15.02,0.009999999999999787,Increase
2016-06-11,15.04,0.019999999999999574,Increase
